director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mike Figgis,Nicolas Cage,Elisabeth Shue,Julian Sands,Drama Romance,leaving las vegas,Nicolas Cage Elisabeth Shue Julian Sands Mike Figgis Drama Romance
Lesli Linka Glatter,Christina Ricci,Rosie O'Donnell,Thora Birch,Comedy Drama Family,now and then,Christina Ricci Rosie O'Donnell Thora Birch Lesli Linka Glatter Comedy Drama Family
Jean-Pierre Jeunet Marc Caro,Ron Perlman,Dominique Pinon,Judith Vittet,Fantasy Sci-Fi Adventure,the city of lost children,Ron Perlman Dominique Pinon Judith Vittet Jean-Pierre Jeunet Marc Caro Fantasy Sci-Fi Adventure
Zhang Yimou,Gong Li,Li Bao-Tian,Wang Xiaoxiao,Drama Crime,shanghai triad,Gong Li Li Bao-Tian Wang Xiaoxiao Zhang Yimou Drama Crime
John N. Smith,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Drama Crime,dangerous minds,Michelle Pfeiffer George Dzundza Courtney B. Vance John N. Smith Drama Crime
Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Sci-Fi Thriller Mystery,twelve monkeys,Bruce Willis Madeleine Stowe Brad Pitt Terry Gilliam Sci-Fi Thriller Mystery
Jean-Jacques Annaud,Craig Sheffer,Elizabeth McGovern,Tom Hulce,Romance Adventure,wings of courage,Craig Sheffer Elizabeth McGovern Tom Hulce Jean-Jacques Annaud Romance Adventure
Chris Noonan,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Fantasy Drama Comedy Family,babe,Christine Cavanaugh Miriam Margolyes Danny Mann Chris Noonan Fantasy Drama Comedy Family
Christopher Hampton,Emma Thompson,Jonathan Pryce,Steven Waddington,History Drama Romance,carrington,Emma Thompson Jonathan Pryce Steven Waddington Christopher Hampton History Drama Romance
Tim Robbins,Susan Sarandon,Sean Penn,Robert Prosky,Drama,dead man walking,Susan Sarandon Sean Penn Robert Prosky Tim Robbins Drama
Stephen Low,Peter Reznick,John McDonough,Avi Hoffman,Adventure History Drama Family,across the sea of time,Peter Reznick John McDonough Avi Hoffman Stephen Low Adventure History Drama Family
Amy Heckerling,Alicia Silverstone,Stacey Dash,Brittany Murphy,Comedy Drama Romance,clueless,Alicia Silverstone Stacey Dash Brittany Murphy Amy Heckerling Comedy Drama Romance
Albert Hughes Allen Hughes,Larenz Tate,Keith David,Chris Tucker,Action Crime Drama History,dead presidents,Larenz Tate Keith David Chris Tucker Albert Hughes Allen Hughes Action Crime Drama History
Paul W.S. Anderson,Christopher Lambert,Robin Shou,Linden Ashby,Action Fantasy,mortal kombat,Christopher Lambert Robin Shou Linden Ashby Paul W.S. Anderson Action Fantasy
Gus Van Sant,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Fantasy Drama Comedy Thriller,to die for,Nicole Kidman Matt Dillon Joaquin Phoenix Gus Van Sant Fantasy Drama Comedy Thriller
Jocelyn Moorhouse,Winona Ryder,Anne Bancroft,Ellen Burstyn,Drama Romance,how to make an american quilt,Winona Ryder Anne Bancroft Ellen Burstyn Jocelyn Moorhouse Drama Romance
David Fincher,Brad Pitt,Morgan Freeman,Gwyneth Paltrow,Crime Mystery Thriller,se7en,Brad Pitt Morgan Freeman Gwyneth Paltrow David Fincher Crime Mystery Thriller
Mike Gabriel Eric Goldberg,Irene Bedard,Mel Gibson,David Ogden Stiers,Adventure Animation Drama Family,pocahontas,Irene Bedard Mel Gibson David Ogden Stiers Mike Gabriel Eric Goldberg Adventure Animation Drama Family
Patricia Rozema,Pascale Bussières,Rachael Crawford,Henry Czerny,Drama Romance,when night is falling,Pascale Bussières Rachael Crawford Henry Czerny Patricia Rozema Drama Romance
Bryan Singer,Stephen Baldwin,Gabriel Byrne,Chazz Palminteri,Drama Crime Thriller,the usual suspects,Stephen Baldwin Gabriel Byrne Chazz Palminteri Bryan Singer Drama Crime Thriller
Richard W. Munchkin,Cynthia Rothrock,Marshall R. Teague,Daniel McVicar,Action Thriller Drama,guardian angel,Cynthia Rothrock Marshall R. Teague Daniel McVicar Richard W. Munchkin Action Thriller Drama
Woody Allen,Woody Allen,Mira Sorvino,Helena Bonham Carter,Comedy Romance,mighty aphrodite,Woody Allen Mira Sorvino Helena Bonham Carter Woody Allen Comedy Romance
Gianni Amelio,Enrico Lo Verso,Michele Placido,Piro Milkani,Drama Foreign,lamerica,Enrico Lo Verso Michele Placido Piro Milkani Gianni Amelio Drama Foreign
Holly Goldberg Sloan,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,Action Adventure Comedy Family,the big green,Steve Guttenberg Olivia d'Abo Jay O. Sanders Holly Goldberg Sloan Action Adventure Comedy Family
Ulu Grosbard,Jennifer Jason Leigh,Mare Winningham,Ted Levine,Drama,georgia,Jennifer Jason Leigh Mare Winningham Ted Levine Ulu Grosbard Drama
Robert Lepage,Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,Thriller Drama Mystery,the confessional,Lothaire Bluteau Patrick Goyette Jean-Louis Millette Robert Lepage Thriller Drama Mystery
Frank Oz,Hal Scardino,Litefoot,Lindsay Crouse,Adventure Family Fantasy,the indian in the cupboard,Hal Scardino Litefoot Lindsay Crouse Frank Oz Adventure Family Fantasy
Stephen Herek,Richard Dreyfuss,Glenne Headly,Jay Thomas,Music Drama Family,mr. holland's opus,Richard Dreyfuss Glenne Headly Jay Thomas Stephen Herek Music Drama Family
